Date,Daily Active Users (DAU),Trading Volume (Shares Traded)
7/1/2024,1274835,30818001
7/2/2024,1243086,27622711
7/3/2024,1282384,27184814
7/4/2024,1326151,31000306
7/5/2024,1238292,36441815
7/6/2024,1238293,28768059
7/7/2024,1328960,33473719
7/8/2024,1288371,34824912
7/9/2024,1226526,28990531
7/10/2024,1277128,37953461
7/11/2024,1226829,36344162
7/12/2024,1226713,27622906
7/13/2024,1262098,31517723
7/14/2024,1154335,26559843
7/15/2024,1163754,26589922
7/16/2024,1221885,24888416
7/17/2024,1199358,31298018
7/18/2024,1265712,31676708
7/19/2024,1204598,24712072
7/20/2024,1179384,26873991
7/21/2024,1323282,38484558
7/22/2024,1238711,27741699
7/23/2024,1253376,26883597
7/24/2024,1178762,29344723
7/25/2024,1222780,36507936
7/26/2024,1255546,28150035
7/27/2024,1192450,31863880
7/28/2024,1268784,35038987
7/29/2024,1219968,27298461
7/30/2024,1235415,33704794
7/31/2024,1219914,28884917
8/1/2024,1342613,35341680
8/2/2024,1249325,32901345
8/3/2024,1197114,30356113
8/4/2024,1291127,26988295
8/5/2024,1188957,33710527
8/6/2024,1260443,29252109
8/7/2024,1152016,25189043
8/8/2024,1183590,24154410
8/9/2024,1259843,32641183
8/10/2024,1286923,34458191
8/11/2024,1258568,25380129
8/12/2024,1244217,31255888
8/13/2024,1234944,27495975
8/14/2024,1176073,31109162
8/15/2024,1214007,26396960
8/16/2024,1226968,33016944
8/17/2024,1302856,31095724
8/18/2024,1267180,37213655
8/19/2024,1161847,24834722
8/20/2024,1266204,29642675
8/21/2024,1230745,26011469
8/22/2024,1216153,35568749
8/23/2024,1280583,36846718
8/24/2024,1301549,29388216
8/25/2024,1296564,34488395
8/26/2024,1208039,34033142
8/27/2024,1234539,31544950
8/28/2024,1266563,32039618
8/29/2024,1298777,29116661
8/30/2024,1226041,25662298
8/31/2024,1240717,35946248
9/1/2024,1194683,34650801
9/2/2024,1190189,31338883
9/3/2024,1290626,30188126
9/4/2024,1317812,30958165
9/5/2024,1246399,33976284
9/6/2024,1300176,37667532
9/7/2024,1268081,36610594
9/8/2024,1217744,33851767
9/9/2024,1268069,33502784
9/10/2024,1326901,27654474
9/11/2024,1248208,26981622
9/12/2024,1328232,38499524
9/13/2024,1119012,29166253
9/14/2024,1291095,25940642
9/15/2024,1254352,26359850
9/16/2024,1235049,32895551
9/17/2024,1254588,25155262
9/18/2024,1150621,24862711
9/19/2024,1239016,31579219
9/20/2024,1267855,34129327
9/21/2024,1323894,35109155
9/22/2024,1224086,27226969
9/23/2024,1209575,32805841
9/24/2024,1224912,27404332
9/25/2024,1295770,30131831
9/26/2024,1266437,34782583
9/27/2024,1223511,32418549
9/28/2024,1275663,36346488
9/29/2024,1254853,33349135
9/30/2024,1298432,33347740
10/1/2024,1214897,25435991
10/2/2024,1233616,29208520
10/3/2024,1230394,27870914
10/4/2024,1176824,26407808
10/5/2024,1264806,37602815
10/6/2024,1263052,30226068
10/7/2024,1250255,36157956
10/8/2024,1238270,32580600
